Informacion;Localizacion;Precio;Negociacion;Publicacion
Nissan Sentra 2009 - 234632 km;en Quito;$6.100;;Hoy,
Hyundai Tucson 2010 - 178000 km;en Quito;$15.600;;Hoy,
"Hermoso Great Wall C30 Voleex 2018";en Quito;$14.500;Negociable;Hoy,
Chevrolet Grand Vitara 2009 - 144000 km;en Quito;$16.500;Negociable;Hoy,
Mazda Mazda 3 2013 - 70000 km;en Quito;$21.800;Negociable;Hoy,
Chevrolet Aveo 2013 - 130000 km;en Quito;$11.300;Negociable;Hoy,
Hyundai Tucson 2011 - 72000 km;en Quito;$20.800;Negociable;Hoy,
"DAIHATSU JAPONES 1.6 16V FULL EXTRAS / FLAMANTE SIN CHOQUES ojo NO es zuzuki ni fiat";en Quito;$5.750;Negociable;Hoy,
"Citroen C3, 2006, 129.000km";en Quito;$8.900;Negociable;Hoy,
Chevrolet Cruze 2011 - 150000 km;en Quito;$16.800;Negociable;Hoy,
"Vendo Citroen C3 2007";en Quito;$8.500;;Hoy,
Suzuki Forsa 1 1988 - 1234567 km;en Quito;$4.300;;Hoy,
Chevrolet N300 2012 - 140000 km;en Quito;$8.800;Negociable;Hoy,
Toyota FJ Cruiser 2014 - 78000 km;en Quito;$59.500;Negociable;Hoy,
"SZ GRAN VITARA AÑO 2010 FLAMANTE DUEÑO";en Quito;$15.600;;Hoy,
Fiat Fiorino Fire 2012 - 160000 km;en Quito;$11.300;Negociable;Hoy,
"Chery Qq 308 2010";en Quito;$5.800;Negociable;Hoy,
Nissan X-Trail 2009 - 141000 km;en Quito;$16.800;Negociable;Hoy,
Chevrolet Optra 2011 - 160000 km;en Quito;$9.800;;Hoy,
Chevrolet Cruze 2015 - 33800 km;en Quito;$20.900;;Hoy,
Nissan X-Trail 2010 - 184000 km;en Quito;$16.800;Negociable;Hoy,
Land Rover Discovery 2010 - 80000 km;en Quito;$53.900;Negociable;Hoy,
Skoda Fabia 2011 - 77000 km;en Quito;$11.500;Negociable;Hoy,
"Renaul Sandero 2012";en Quito;$10.800;Negociable;Hoy,
"FORD ESCAPE 2008";en Quito;$16.300;Negociable;Hoy,
Great Wall H5 2015 - 41529 km;en Quito;$20.000;;23 Ene
"Chevrolet Spark 2008, A/C, 79000 km.";en Quito;$8.300;Negociable;Ayer,
"Toyota AA Prius 2010";en Quito;$12.800;Negociable;18 Ene
"Shineray X30l Van 2019";en Quito;$14.000;;29 Ene
"HYUNDAI SANTA FE 2013";en Quito;$29.000;Negociable;Hoy,
Volkswagen Gol 2013 - 130000 km;en Quito;$12.900;Negociable;Hoy,
Hyundai Tucson 2014 - 100000 km;en Quito;$22.900;Negociable;Hoy,
Daewoo Racer 1995 - 355000 km;en Quito;$3.800;;Hoy,
"CAMIÓN JAC HFC 1035 Y VAN ESCOLAR 12 Y 17 PASAJEROS";en Quito;$20.780;;Hoy,
"CAMIONETA 4X4 JAC T6 DIESEL VERSION FULL";en Quito;$30.680;;Hoy,
"VEHICULO SUV FAW SIRIUS R7 / D60 GASOLINA";en Quito;$19.790;;Hoy,
Great Wall H5 2015 - 50390 km;en Quito;$19.500;Negociable;Hoy,
Chevrolet Otro 1986 - 55555 km;en Quito;$2.500;;Hoy,
Mazda BT-50 2010 - 0 km;en Quito;$12.900;;Hoy,
Fiat Uno  1993 - 250000 km;en Quito;$3.800;;Hoy,
Volkswagen Crossfox 2007 - 112000 km;en Quito;$10.600;;Hoy,
Mazda 323 1992 - 325000 km;en Quito;$4.850;;Hoy,
"NISSAN SENTRA 1.6 T/M";en Quito;$9.200;Negociable;Hoy,
"Vendo SuzukiGrand Vitara SZ 2.4 5P 4x4";en Quito;$19.000;Negociable;Hoy,
"SPORTAGE LX AT 2013";en Quito;$18.700;Negociable;Hoy,
Nissan Qashqai  2014 - 82000 km;en Quito;$22.800;Negociable;Hoy,
"Ford Explorer 1998 4X4";en Quito;$7.900;Negociable;Hoy,
Nissan Sentra 2011 - 97766 km;en Quito;$12.250;Negociable;Hoy,
Hyundai Accent 2016 - 50000 km;en Quito;$18.500;;Hoy,
Suzuki Forsa 2 1992 - 100 km;en Quito;$4.800;Negociable;Hoy,
Suzuki Grand Vitara SZ 2009 - 179000 km;en Quito;$14.000;Negociable;Hoy,
Kia Sportage 2015 - 102000 km;en Quito;$20.200;Negociable;Hoy,
Ford Escape 2015 - 54500 km;en Quito;$27.500;Negociable;Hoy,
Nissan Sentra 2014 - 120000 km;en Quito;$17.800;Negociable;Hoy,
Chevrolet Grand Vitara 2005 - 246164 km;en Quito;$11.500;;Hoy,
Toyota RAV-4 2007 - 190000 km;en Quito;$20.500;Negociable;18 Ene
"Flamante Chery Qq 2015";en Quito;$8.500;Negociable;5 Feb
Hyundai Accent 2011 - 146000 km;en Quito;$13.800;Negociable;3 Feb
"Toyota Yaris sport 3P AC 2005 en perfecto estado 180 000 KM";en Quito;$10.500;Negociable;4 Feb
Chevrolet Captiva 2014 - 55000 km;en Quito;$21.900;Negociable;Hoy,
Nissan Versa 2015 - 100000 km;en Quito;$16.300;Negociable;Hoy,
Kia Sportage 2003 - 256000 km;en Quito;$8.800;;Hoy,
Fiat Uno  1989 - 0 km;en Quito;$2.200;;Hoy,
Chevrolet Grand Vitara 2016 - 107000 km;en Quito;$19.300;Negociable;Hoy,
Mazda BT-50 2014 - 82000 km;en Quito;$21.900;Negociable;Hoy,
"AVEO ACTIVO 2012";en Quito;$10.800;;Hoy,
"Chevrolet Sail 2014 Full Equipo";en Quito;$12.300;;Hoy,
Great Wall C30 2014 - 101200 km;en Quito;$12.000;Negociable;Hoy,
Chevrolet Sail 2018 - 40000 km;en Quito;$16.300;;Hoy,
"HONDA CRV TA 2.4 5P 4X2";en Quito;$28.900;Negociable;Hoy,
"Audi A4 2018 1.4L Turbo TaA4P 4X2";en Quito;$48.900;Negociable;Hoy,
"Hyundai Tucson Ix Ta 2014 Gasolina";en Quito;$21.500;Negociable;Hoy,
"Nissan Xtrail Classic 2012 Tm 4x4 Full";en Quito;$16.800;;Hoy,
"JEEP GRAND CHEROKEE LAREDO 3.7L TA";en Quito;$21.000;Negociable;Hoy,
Great Wall H5 2016 - 24984 km;en Quito;$21.000;;Hoy,
"Nissan Xtrail Classic, 2007, 148.000km";en Quito;$13.900;Negociable;Hoy,
"SUZUKI GRAND VITARA SZ 2012";en Quito;$15.700;Negociable;Hoy,
Chevrolet Optra 2006 - 160000 km;en Quito;$10.400;;Hoy,
"KIA RIO R 2019 FULL EQUIPO";en Quito;$18.900;Negociable;Hoy,
Great Wall H5 2016 - 73205 km;en Quito;$20.000;;Hoy,
Citroen C3 2012 - 102000 km;en Quito;$12.600;Negociable;Hoy,
Ford F-150 2012 - 130000 km;en Quito;$21.900;Negociable;Hoy,
Chevrolet Corsa 2007 - 0 km;en Quito;$7.000;;Hoy,
"Chevrolet Gran Vitara Sz 2016";en Quito;$6.700;Negociable;Hoy,
Volkswagen Otro 2006 - 25000 km;en Quito;$25.000;Negociable;Hoy,
Volkswagen Jetta 2018 - 0 km;en Quito;$25.990;;29 Ene
Kia Sportage 2015 - 60000 km;en Quito;$23.800;Negociable;29 Ene
"Byd 2018";en Quito;$17.900;;5 Feb
Nissan Qashqai  2011 - 149000 km;en Quito;$22.900;Negociable;6 Feb
Volkswagen Gol 1996 - 233000 km;en Quito;$5.300;;Hoy,
Renault Logan 2014 - 98000 km;en Quito;$12.400;;Hoy,
"NISSAN QASHQAI 2014 AUTOMÁTICO";en Quito;$23.600;Negociable;Hoy,
"Skoda Fabia Glx 1.6 Flamante";en Quito;$14.800;;Hoy,
Nissan X-Trail 2016 - 41000 km;en Quito;$34.000;Negociable;Hoy,
Nissan Versa 2014 - 109000 km;en Quito;$14.900;Negociable;Hoy,
Chevrolet Sail 2018 - 23000 km;en Quito;$15.400;;Hoy,
Mazda Mazda 3 2018 - 5352 km;en Quito;$31.500;Negociable;Hoy,
Mazda Otro 2010 - 160000 km;en Quito;$19.800;Negociable;Hoy,
Mazda Otro 2011 - 89000 km;en Quito;$20.900;;Hoy,
Nissan Pick-Up 1994 - 617142 km;en Quito;$7.500;Negociable;Hoy,
"Suzuki Grand Vitara SZ 2014";en Quito;$18.000;Negociable;Hoy,
"Great Wall Haval H5";en Quito;$15.500;Negociable;Hoy,
"CHEVROLET ORLANDO 2.4 4X2 TA AÑO 2013";en Quito;$26.900;Negociable;Hoy,
Renault Duster 2013 - 92000 km;en Quito;$16.600;Negociable;Hoy,
"LEXUS RX450 HIBRIDO 4X4 AÑO 2010";en Quito;$36.000;Negociable;Hoy,
Toyota Corolla 2013 - 92000 km;en Quito;$19.800;Negociable;Hoy,
"Chevrolet Cruze Turbo Ta 2017 Full";en Quito;$26.900;;Hoy,
"LEXUS RX450H 2010";en Quito;$31.900;Negociable;Hoy,
Chevrolet Aveo Family 2012 - 117000 km;en Quito;$11.200;Negociable;Hoy,
Mitsubishi Outlander 2006 - 158000 km;en Quito;$13.800;Negociable;Hoy,
"JEEP CHEROKEE FULL EQUIPO EN EXCELENTE ESTADO";en Quito;$7.800;Negociable;Hoy,
Kia Picanto 2013 - 146000 km;en Quito;$10.500;Negociable;Hoy,
"Chevrolet Aveo Family 2014";en Quito;$11.400;Negociable;Hoy,
"FORD EXPLORER XLT 2011 AT FULL AMERICANA";en Quito;$31.800;Negociable;Hoy,
Mazda BT-50 2013 - 143000 km;en Quito;$15.800;;Hoy,
"Nissan Xtrail Classic 2012 Tm 4x4 Full";en Quito;$16.800;;21 Ene
Volkswagen Polo 2004 - 111000 km;en Quito;$8.900;Negociable;Hoy,
"Volkswagen New Jetta 2013 2.5L TM 4P AC";en Quito;$17.900;Negociable;30 Ene
"Kia Sorento 2013 GSL 3.5L 5P 4X2 TA";en Quito;$24.400;Negociable;6 Feb
Renault Logan 2018 - 9000 km;en Quito;$14.100;Negociable;Hoy,
Toyota Corolla 2009 - 150000 km;en Quito;$14.900;;Hoy,
Chevrolet Tracker 2019 - 0 km;en Quito;$26.490;Negociable;Hoy,
Nissan Pathfinder 2006 - 184000 km;en Quito;$20.400;Negociable;Hoy,
Chevrolet Aveo 2011 - 146200 km;en Quito;$12.800;;Hoy,
Chevrolet Aveo 2010 - 645012 km;en Quito;$8.888;;Hoy,
"WINGLE AC 2.4 CD 4X2 TM, 2018";en Quito;$21.000;Negociable;Hoy,
Ford Escape 2013 - 69000 km;en Quito;$22.901;Negociable;Hoy,
Chevrolet Aveo Family 2013 - 81000 km;en Quito;$10.200;Negociable;Hoy,
Fiat Uno  1990 - 260000 km;en Quito;$4.500;Negociable;Hoy,
Toyota Prius 2010 - 134000 km;en Quito;$13.000;Negociable;Hoy,
Kia Rio 2007 - 163000 km;en Quito;$8.800;Negociable;Hoy,
Renault Twingo 2002 - 214000 km;en Quito;$5.200;Negociable;Hoy,
Ford Explorer 2014 - 75000 km;en Quito;$39.500;Negociable;Hoy,
Chevrolet Spark 2018 - 20000 km;en Quito;$10.300;Negociable;Hoy,
"Suzuki Sz unico duenio";en Quito;$16.500;;Hoy,
Great Wall C30 2017 - 100000 km;en Quito;$28.000;;Hoy,
"Vw Jetta 2008 flamante";en Quito;$11.880;Negociable;Hoy,
"KIA SPORTAGE 2013, 83.000KM, FULL EQUIPO";en Quito;$18.900;Negociable;Hoy,
Nissan Sentra 2013 - 42000 km;en Quito;$12.900;Negociable;Hoy,
"Chevrolet Cruze 2013 97000km";en Quito;$18.300;Negociable;Hoy,
Kia Pregio 2003 - 0 km;en Quito;$10.500;;Hoy,
Toyota Otro 1996 - 44000 km;en Quito;$6.000;Negociable;Hoy,
Mercedes-Benz Clase E 1988 - 375000 km;en Quito;$9.500;Negociable;Hoy,
"GREAT WALL M4 2016";en Quito;$15.500;Negociable;Hoy,
BMW Série 5 2006 - 89000 km;en Quito;$29.900;;Hoy,
Volkswagen Jetta 2018 - 0 km;en Quito;$25.990;;29 Ene
"Chevrolet Jimny 2005";en Quito;$10.300;Negociable;12 Ene
Toyota 4Runner 2006 - 259000 km;en Quito;$21.900;;18 Ene
Great Wall H5 2015 - 41529 km;en Quito;$20.000;;23 Ene
Chevrolet Aveo 2015 - 110000 km;en Quito;$14.200;;Hoy,
Chevrolet Sail 2017 - 48000 km;en Quito;$14.400;;Hoy,
Hyundai Tucson 2011 - 96000 km;en Quito;$19.900;Negociable;Hoy,
Ford Escape 2012 - 145000 km;en Quito;$18.900;;Hoy,
Chevrolet Vitara 2019 - 0 km;en Quito;$25.490;;Hoy,
"FLAMANTE CHEVROLET SZ 2.0 MANUAL 2014 con 79.000 km";en Quito;$18.500;Negociable;Hoy,
BMW Z4 1997 - 200000 km;en Quito;$11.600;Negociable;Hoy,
Chevrolet D-Max 2014 - 118000 km;en Quito;$26.800;;Hoy,
Chevrolet Vitara 2012 - 100000 km;en Quito;$11.950;;Hoy,
Volkswagen Gol 2013 - 140000 km;en Quito;$12.900;;Hoy,
"Ford Edge 2013";en Quito;$28.800;;Hoy,
Nissan X-Trail 2011 - 140000 km;en Quito;$16.300;;Hoy,
"Toyota Fortuner 2011 Tm 2.7";en Quito;$26.800;Negociable;Hoy,
Hyundai Tucson 2011 - 92000 km;en Quito;$19.300;;Hoy,
Mitsubishi Montero 2005 - 250000 km;en Quito;$17.800;;Hoy,
Nissan Sentra 2015 - 57000 km;en Quito;$19.800;;Hoy,
Ford Otro 1997 - 343000 km;en Quito;$7.800;;Hoy,
Volkswagen Tiguan 2009 - 124000 km;en Quito;$21.800;;Hoy,
Honda CR-V 2005 - 139000 km;en Quito;$15.850;;Hoy,
"Chevrolet Cruze 2014";en Quito;$17.800;Negociable;Hoy,
Chevrolet Grand Vitara SZ 2009 - 145000 km;en Quito;$15.000;Negociable;Hoy,
Mitsubishi Montero 1998 - 213000 km;en Quito;$13.800;;Hoy,
Chevrolet D-Max 2019 - 0 km;en Quito;$28.000;;Hoy,
"Chery Qq6";en Quito;$7.800;Negociable;Hoy,
"Nissan Tiida, 2014, 80.000km";en Quito;$14.400;Negociable;Hoy,
Great Wall Wingle 3 2011 - 171068 km;en Quito;$10.500;Negociable;Hoy,
Toyota Land Cruiser 1997 - 365000 km;en Quito;$16.500;Negociable;21 Ene
Chevrolet Grand Vitara 2008 - 200000 km;en Quito;$11.300;Negociable;23 Ene
Mercedes-Benz Clase A 1983 - 70000 km;en Quito;$12.800;Negociable;Hoy,
Chevrolet Corsa 2004 - 164596 km;en Quito;$8.900;Negociable;6 Feb
Renault Sandero 2009 - 110100 km;en Quito;$9.200;Negociable;Hoy,
Chevrolet Otro 2019 - 0 km;en Quito;$15.150;;Hoy,
Chevrolet D-Max 2008 - 212000 km;en Quito;$14.800;Negociable;Hoy,
Hyundai Tucson 2015 - 65000 km;en Quito;$25.800;Negociable;Hoy,
Great Wall H5 2014 - 45465 km;en Quito;$18.000;Negociable;Hoy,
BMW Série 5 2002 - 200000 km;en Quito;$19.000;Negociable;Hoy,
Nissan Versa 2013 - 105455 km;en Quito;$13.950;Negociable;Hoy,
Toyota 4Runner 2011 - 134000 km;en Quito;$48.500;;Hoy,
Honda Pilot 2012 - 127800 km;en Quito;$36.500;;Hoy,
"Renault Sandero Expression 2012 1.6cc";en Quito;$9.500;;Hoy,
Fiat Siena 2013 - 62000 km;en Quito;$12.500;;Hoy,
Chevrolet Aveo Family 2015 - 67000 km;en Quito;$11.900;;Hoy,
Kia Sportage 2017 - 41072 km;en Quito;$35.000;Negociable;Hoy,
"Hyundai Santa Fe 3.5 V6 Awd 2011";en Quito;$24.500;;Hoy,
Honda Pilot 2004 - 188670 km;en Quito;$15.900;;Hoy,
Peugeot 206 2006 - 200000 km;en Quito;$8.200;Negociable;Hoy,
"Toyota Prius 2010 96.300 Km";en Quito;$14.500;;Hoy,
Toyota Corolla 2009 - 80500 km;en Quito;$12.900;;Hoy,
"remato bonita blazer";en Quito;$350;Negociable;Hoy,
Chevrolet Zafira 2002 - 312486 km;en Quito;$7.000;;Hoy,
Great Wall Wingle 5 2016 - 114945 km;en Quito;$17.500;Negociable;Hoy,
Hyundai Santa Fe 2007 - 190000 km;en Quito;$14.800;Negociable;Hoy,
"Hyundai I30 2015 con 30.000Km";en Quito;$20.499;Negociable;Hoy,
Hyundai Tucson 2016 - 25000 km;en Quito;$50.000;;Hoy,
Hyundai Sonata 2015 - 90000 km;en Quito;$20.900;Negociable;Hoy,
Volkswagen Vento 1999 - 178732 km;en Quito;$9.000;Negociable;Hoy,
Honda CR-V 2008 - 99000 km;en Quito;$16.700;Negociable;19 Ene
Ford Fiesta  2008 - 137897 km;en Quito;$9.500;Negociable;5 Feb
Mazda BT-50 2015 - 89000 km;en Quito;$22.900;Negociable;15 Ene
Volkswagen Amarok 2011 - 164000 km;en Quito;Negociable;;6 Feb
Toyota Corolla 2010 - 89000 km;en Quito;$15.900;Negociable;Hoy,
Zotye Z100 2018 - 7900 km;en Quito;$9.500;Negociable;Hoy,
Chevrolet Aveo 2015 - 79680 km;en Quito;$14.700;;Hoy,
"TOYOTA FORTUNER 4X4 2.7";en Quito;$35.200;Negociable;Hoy,
Ford Fiesta  1994 - 4850 km;en Quito;$5.000;;Hoy,
"Chevrolet Tracker 2014 1.8L TM 4X2 5P";en Quito;$18.600;Negociable;Hoy,
Ford Ecosport 2014 - 17000 km;en Quito;$22.600;Negociable;Hoy,
"Ford F150 2010 DC 4X2 TA 5P 4.6L";en Quito;$22.400;Negociable;Hoy,
Chevrolet Aveo 2012 - 150000 km;en Quito;$11.200;;Hoy,
Renault Logan 2015 - 102500 km;en Quito;$11.950;Negociable;Hoy,
"HERMOSO KIA CERATO FORTE 2010 COREANO";en Quito;$14.000;Negociable;Hoy,
Great Wall C30 2011 - 168200 km;en Quito;$10.000;Negociable;Hoy,
Volkswagen Gol 2000 - 270000 km;en Quito;$5.800;;Hoy,
Kia Rio 2005 - 200000 km;en Quito;$5.650;;Hoy,
"Volkswagen Golf 96";en Quito;$5.900;Negociable;Hoy,
"Chery Practivan 2013";en Quito;$8.800;Negociable;Hoy,
"Chevrolet spark GT Version AC";en Quito;$13.500;;Hoy,
Ford Edge  2013 - 85000 km;en Quito;$25.900;;Hoy,
Chevrolet Corsa 2002 - 170000 km;en Quito;$6.900;;Hoy,
"Spark Life 2019 A/C Nuevo";en Quito;$10.900;;Hoy,
Suzuki Otro 2018 - 12000 km;en Quito;$22.000;Negociable;Hoy,
Chevrolet Sail 2012 - 85000 km;en Quito;$11.500;;Hoy,
Volkswagen Polo 2004 - 111000 km;en Quito;$8.900;Negociable;Hoy,
Chevrolet Grand Vitara 2012 - 149000 km;en Quito;$14.200;Negociable;Hoy,
"Kia Cerato Forte 2015 Automático";en Quito;$14.900;Negociable;Hoy,
"Citroen C5 2003";en Quito;$10.000;;Hoy,
Chevrolet Sail 2017 - 48000 km;en Quito;$14.400;;4 Feb
Kia Sorento 2007 - 180000 km;en Quito;$14.900;Negociable;Hoy,
Kia Pregio 2004 - 251363 km;en Quito;$11.900;;3 Feb
Mazda Otro 2011 - 89000 km;en Quito;$20.900;;6 Feb
Chevrolet Aveo 2016 - 40000 km;en Quito;$12.500;;Hoy,
Chevrolet Cruze 2015 - 42000 km;en Quito;$18.900;Negotiable;Hoy,
Audi A4 2007 - 119000 km;en Quito;$19.500;;Hoy,
"VOLKSWAGEN TIGUAN 2009";en Quito;$18.900;Negotiable;Hoy,
Volkswagen Jetta 2011 - 100000 km;en Quito;$18.900;Negotiable;Hoy,
Hyundai Accent 2015 - 35000 km;en Quito;$16.950;Negotiable;Hoy,
Ford F-150 2013 - 110000 km;en Quito;$27.900;Negotiable;Hoy,
Ford Explorer 1999 - 270000 km;en Quito;$8.500;;Hoy,
Mazda Mazda 3 2018 - 20000 km;en Quito;$27.700;Negotiable;Hoy,
Nissan X-Trail 2014 - 149000 km;en Quito;$19.900;Negotiable;Hoy,
"Toyota Fortuner 2013 Ta 4x4 5p 2.7l Guayas";en Quito;$27.400;Negotiable;Hoy,
Fiat Palio 2007 - 165000 km;en Quito;$8.000;Negotiable;Hoy,
Hyundai i10 2014 - 70000 km;en Quito;$9.900;Negotiable;Hoy,
"Toyota Fortuner 2014 2.7L TA 4X4 5P";en Quito;$32.900;Negotiable;Hoy,
Chevrolet Aveo 2018 - 0 km;en Quito;$155.002;;Hoy,
"Great Wall Florid 2012";en Quito;$11.800;;Hoy,
Ford F-150 2013 - 150000 km;en Quito;$28.500;Negotiable;Hoy,
